Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,10.57481
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,17.41498
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,31.79292
2000,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2001,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2002,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2003,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2004,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2005,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2006,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2007,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2008,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2009,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2010,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0
2011,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.08018
2012,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.08174
2013,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.08308
2014,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.08416
2015,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.08525
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.08638
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,0.0875
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,15.05757
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,26.00482
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,26.36884
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,41.60366
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Energija vjetra,42.12429
